                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.96917,                0.55527,                 1.3414,                0.97539,                0.90698,                0.96361,                0.71889,                0.89658,                0.52953,                  1.417,              0.0004358,              0.0004358,              0.0004358
                     81,                0.93479,                0.57389,                 1.3308,                0.96979,                0.93326,                0.96711,                0.78098,                 0.7601,                0.48862,                 1.3362,               0.000416,               0.000416,               0.000416
                     82,                0.97541,                0.57495,                 1.3628,                 0.9756,                 0.9298,                0.96507,                0.74577,                0.83689,                0.51056,                 1.3512,              0.0003962,              0.0003962,              0.0003962
                     83,                0.90765,                0.55619,                 1.2694,                0.97192,                0.93023,                0.96534,                0.76717,                0.78845,                0.49146,                 1.3348,              0.0003764,              0.0003764,              0.0003764
                     84,                0.95235,                0.57026,                 1.3132,                0.97545,                0.92403,                0.96528,                0.78041,                0.77453,                 0.4891,                 1.3158,              0.0003566,              0.0003566,              0.0003566
                     85,                0.90705,                0.54122,                 1.3057,                0.96425,                0.94083,                0.96722,                0.78113,                0.78193,                0.49124,                 1.3177,              0.0003368,              0.0003368,              0.0003368
                     86,                0.94572,                0.56387,                 1.3523,                0.97182,                 0.9186,                0.96733,                0.77133,                0.81272,                0.49711,                 1.3271,               0.000317,               0.000317,               0.000317
                     87,                0.93897,                0.56868,                 1.3016,                 0.9578,                0.93605,                0.96798,                0.74869,                 0.8624,                 0.5047,                 1.3462,              0.0002972,              0.0002972,              0.0002972
                     88,                0.93408,                0.55608,                 1.2607,                0.96462,                0.95109,                0.96911,                0.77147,                0.78608,                0.50044,                 1.3227,              0.0002774,              0.0002774,              0.0002774
                     89,                0.93365,                0.57912,                 1.3499,                0.96919,                0.93605,                0.96765,                0.79029,                0.74064,                0.46874,                 1.3176,              0.0002576,              0.0002576,              0.0002576
                     90,                0.90455,                0.53417,                 1.3212,                0.98748,                  0.917,                 0.9655,                0.78515,                0.74893,                0.46574,                 1.2981,              0.0002378,              0.0002378,              0.0002378
                     91,                0.86093,                0.57877,                 1.3023,                0.95822,                0.93336,                0.96397,                0.77307,                0.75383,                0.49244,                 1.2958,               0.000218,               0.000218,               0.000218
                     92,                0.83235,                 0.5302,                 1.2623,                0.95168,                0.94767,                0.96419,                0.75784,                0.81646,                0.52778,                 1.3383,              0.0001982,              0.0001982,              0.0001982
                     93,                0.84191,                 0.5358,                 1.3138,                0.98159,                 0.9299,                0.96476,                0.77658,                0.75355,                 0.4963,                 1.2947,              0.0001784,              0.0001784,              0.0001784
                     94,                0.86805,                0.55022,                 1.3238,                0.97805,                0.93605,                0.96582,                0.79689,                0.71811,                0.47956,                 1.2585,              0.0001586,              0.0001586,              0.0001586
                     95,                0.83342,                0.53176,                 1.3066,                0.98772,                  0.935,                0.96627,                0.77984,                0.74412,                0.47647,                 1.2787,              0.0001388,              0.0001388,              0.0001388
                     96,                0.79636,                0.50462,                 1.2846,                0.98163,                0.93223,                0.96701,                0.78704,                0.73421,                0.46646,                 1.2766,               0.000119,               0.000119,               0.000119
                     97,                0.80523,                 0.5295,                 1.3391,                0.97025,                0.94793,                0.96738,                0.80111,                0.71135,                0.46647,                 1.2495,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.81269,                0.51452,                 1.2775,                0.95692,                 0.9593,                0.96702,                0.80052,                  0.731,                0.46768,                 1.2448,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.80789,                0.51831,                 1.2839,                0.95731,                 0.9593,                 0.9669,                0.80806,                0.70137,                0.45957,                 1.2356,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.80058,                 0.5023,                 1.2716,                0.97269,                0.94767,                 0.9747,                0.80946,                0.68336,                0.45179,                 1.2302,               3.98e-05,               3.98e-05,               3.98e-05
